fbref_date,fbref_time,fbref_comp,fbref_round,fbref_day,fbref_hometeam,fbref_awayteam,fbref_score_fixtures_hometeam_result,fbref_score_fixtures_hometeam_gf,fbref_score_fixtures_hometeam_ga,fbref_score_fixtures_hometeam_poss,fbref_score_fixtures_hometeam_attendance,fbref_score_fixtures_hometeam_captain,fbref_referee,fbref_score_fixtures_awayteam_result,fbref_score_fixtures_awayteam_gf,fbref_score_fixtures_awayteam_ga,fbref_score_fixtures_awayteam_poss,fbref_score_fixtures_awayteam_attendance,fbref_score_fixtures_awayteam_captain,fbref_score_fixtures_awayteam_formation,fbref_score_fixtures_hometeam_formation,fbref_shooting_hometeam_result,fbref_shooting_hometeam_gf,fbref_shooting_hometeam_ga,fbref_shooting_hometeam_gls,fbref_shooting_hometeam_sh,fbref_shooting_hometeam_sot,fbref_shooting_hometeam_sot_percentage,fbref_shooting_hometeam_gsh,fbref_shooting_hometeam_gsot,fbref_shooting_hometeam_pk,fbref_shooting_hometeam_pkatt,fbref_shooting_awayteam_result,fbref_shooting_awayteam_gf,fbref_shooting_awayteam_ga,fbref_shooting_awayteam_gls,fbref_shooting_awayteam_sh,fbref_shooting_awayteam_sot,fbref_shooting_awayteam_sot_percentage,fbref_shooting_awayteam_gsh,fbref_shooting_awayteam_gsot,fbref_shooting_awayteam_pk,fbref_shooting_awayteam_pkatt,fbref_goalkeeping_hometeam_result,fbref_goalkeeping_hometeam_gf,fbref_goalkeeping_hometeam_ga,fbref_goalkeeping_hometeam_ga,fbref_goalkeeping_hometeam_ga,fbref_goalkeeping_hometeam_ga,fbref_goalkeeping_hometeam_saves,fbref_goalkeeping_hometeam_save_percentage,fbref_goalkeeping_hometeam_pkatt,fbref_goalkeeping_hometeam_pka,fbref_goalkeeping_hometeam_pksv,fbref_goalkeeping_hometeam_pkm,fbref_goalkeeping_awayteam_result,fbref_goalkeeping_awayteam_gf,fbref_goalkeeping_awayteam_ga,fbref_goalkeeping_awayteam_ga,fbref_goalkeeping_awayteam_ga,fbref_goalkeeping_awayteam_ga,fbref_goalkeeping_awayteam_sota,fbref_goalkeeping_awayteam_saves,fbref_goalkeeping_awayteam_save_percentage,fbref_goalkeeping_awayteam_pkatt,fbref_goalkeeping_awayteam_pka,fbref_goalkeeping_awayteam_pksv,fbref_goalkeeping_awayteam_pkm,fbref_full_season_format,fbref_shortened_season
2016-08-27,15:00,Premiership,Regular season,Sat,Celtic,Aberdeen,W,4,1,,57758,Scott Brown,Bobby Madden,L,1,4,,57758,Mark Reynolds,5-4-1,4-2-3-1,W,4.0,1.0,4,0,0,,,,1,1,L,1.0,4.0,1,0,0,,,,0,0,W,4.0,1.0,1,1.0,1,0,,0,0,0,0,L,1.0,4.0,4,4.0,4,0,0,,1,1,0,0,2016/2017,16/17
2016-09-10,12:00,Premiership,Regular season,Sat,Celtic,Rangers,W,5,1,,58348,Scott Brown,William Collum,L,1,5,,58348,Lee Wallace,4-5-1,4-2-3-1,W,5.0,1.0,5,0,0,,,,0,0,L,1.0,5.0,1,0,0,,,,0,0,W,5.0,1.0,1,1.0,1,0,,0,0,0,0,L,1.0,5.0,5,5.0,5,0,0,,0,0,0,0,2016/2017,16/17
2016-09-24,15:00,Premiership,Regular season,Sat,Celtic,Kilmarnock,W,6,1,,53532,Scott Brown,Nick Walsh,L,1,6,,53532,Kris Boyd,4-5-1,4-2-3-1,W,6.0,1.0,6,0,0,,,,1,1,L,1.0,6.0,1,0,0,,,,0,0,W,6.0,1.0,0,1.0,0,0,,0,0,0,0,L,1.0,6.0,6,6.0,6,0,0,,1,1,0,0,2016/2017,16/17
2016-10-15,15:00,Premiership,Regular season,Sat,Celtic,Motherwell,W,2,0,,54159,Scott Brown,John Beaton,L,0,2,,54159,Keith Lasley,4-4-1-1,4-3-3,W,2.0,0.0,2,0,0,,,,1,1,L,0.0,2.0,0,0,0,,,,0,0,W,2.0,0.0,0,0.0,0,0,,0,0,0,0,L,0.0,2.0,2,2.0,2,0,0,,1,1,0,0,2016/2017,16/17
2016-11-05,15:00,Premiership,Regular season,Sat,Celtic,Inverness CT,W,3,0,,54152,Scott Brown,Crawford Allan,L,0,3,,54152,Gary Warren,4-4-2,3-5-2,W,3.0,0.0,3,0,0,,,,0,0,L,0.0,3.0,0,0,0,,,,0,0,W,3.0,0.0,0,0.0,0,0,,0,0,0,0,L,0.0,3.0,3,3.0,3,0,0,,0,0,0,0,2016/2017,16/17
2016-12-13,19:45,Premiership,Regular season,Tue,Celtic,Hamilton,W,1,0,,55076,Scott Brown,Crawford Allan,L,0,1,,55076,Massimo Donati,4-1-4-1,3-5-2,W,1.0,0.0,1,0,0,,,,0,0,L,0.0,1.0,0,0,0,,,,0,0,W,1.0,0.0,0,0.0,0,0,,0,0,0,0,L,0.0,1.0,1,1.0,1,0,0,,0,0,0,0,2016/2017,16/17
2016-12-17,15:00,Premiership,Regular season,Sat,Celtic,Dundee,W,2,1,,37404,Stuart Armstrong,Bobby Madden,L,1,2,,37404,Darren O'Dea,5-4-1,4-5-1,W,2.0,1.0,2,0,0,,,,0,0,L,1.0,2.0,1,0,0,,,,0,0,W,2.0,1.0,1,1.0,1,0,,0,0,0,0,L,1.0,2.0,2,2.0,2,0,0,,0,0,0,0,2016/2017,16/17
2016-12-20,19:45,Premiership,Regular season,Tue,Celtic,Partick Thistle,W,1,0,,55733,Scott Brown,Euan Anderson,L,0,1,,55733,Abdul Osman,4-3-3,4-5-1,W,1.0,0.0,1,0,0,,,,0,0,L,0.0,1.0,0,0,0,,,,0,0,W,1.0,0.0,0,0.0,0,0,,0,0,0,0,L,0.0,1.0,1,1.0,1,0,0,,0,0,0,0,2016/2017,16/17
2016-12-28,19:45,Premiership,Regular season,Wed,Celtic,Ross County,W,2,0,,55355,Scott Brown,Nick Walsh,L,0,2,,55355,Paul Quinn,4-4-2,4-3-3,W,2.0,0.0,2,0,0,,,,0,0,L,0.0,2.0,0,0,0,,,,0,0,W,2.0,0.0,0,0.0,0,0,,0,0,0,0,L,0.0,2.0,2,2.0,2,0,0,,0,0,0,0,2016/2017,16/17
2017-01-25,19:45,Premiership,Regular season,Wed,Celtic,St Johnstone,W,1,0,,51057,Scott Brown,Andrew Dallas,L,0,1,,51057,Steven Anderson,4-4-1-1,4-4-2,W,1.0,0.0,1,0,0,,,,0,0,L,0.0,1.0,0,0,0,,,,0,0,W,1.0,0.0,0,0.0,0,0,,0,0,0,0,L,0.0,1.0,1,1.0,1,0,0,,0,0,0,0,2016/2017,16/17
