fbref_date,fbref_time,fbref_comp,fbref_round,fbref_day,fbref_hometeam,fbref_awayteam,fbref_score_fixtures_hometeam_result,fbref_score_fixtures_hometeam_gf,fbref_score_fixtures_hometeam_ga,fbref_score_fixtures_hometeam_poss,fbref_score_fixtures_hometeam_attendance,fbref_score_fixtures_hometeam_captain,fbref_referee,fbref_score_fixtures_awayteam_result,fbref_score_fixtures_awayteam_gf,fbref_score_fixtures_awayteam_ga,fbref_score_fixtures_awayteam_poss,fbref_score_fixtures_awayteam_attendance,fbref_score_fixtures_awayteam_captain,fbref_score_fixtures_awayteam_formation,fbref_score_fixtures_hometeam_formation,fbref_shooting_hometeam_result,fbref_shooting_hometeam_gf,fbref_shooting_hometeam_ga,fbref_shooting_hometeam_gls,fbref_shooting_hometeam_sh,fbref_shooting_hometeam_sot,fbref_shooting_hometeam_sot_percentage,fbref_shooting_hometeam_gsh,fbref_shooting_hometeam_gsot,fbref_shooting_hometeam_pk,fbref_shooting_hometeam_pkatt,fbref_shooting_awayteam_result,fbref_shooting_awayteam_gf,fbref_shooting_awayteam_ga,fbref_shooting_awayteam_gls,fbref_shooting_awayteam_sh,fbref_shooting_awayteam_sot,fbref_shooting_awayteam_sot_percentage,fbref_shooting_awayteam_gsh,fbref_shooting_awayteam_gsot,fbref_shooting_awayteam_pk,fbref_shooting_awayteam_pkatt,fbref_goalkeeping_hometeam_result,fbref_goalkeeping_hometeam_gf,fbref_goalkeeping_hometeam_ga,fbref_goalkeeping_hometeam_ga,fbref_goalkeeping_hometeam_ga,fbref_goalkeeping_hometeam_ga,fbref_goalkeeping_hometeam_saves,fbref_goalkeeping_hometeam_save_percentage,fbref_goalkeeping_hometeam_pkatt,fbref_goalkeeping_hometeam_pka,fbref_goalkeeping_hometeam_pksv,fbref_goalkeeping_hometeam_pkm,fbref_goalkeeping_awayteam_result,fbref_goalkeeping_awayteam_gf,fbref_goalkeeping_awayteam_ga,fbref_goalkeeping_awayteam_ga,fbref_goalkeeping_awayteam_ga,fbref_goalkeeping_awayteam_ga,fbref_goalkeeping_awayteam_sota,fbref_goalkeeping_awayteam_saves,fbref_goalkeeping_awayteam_save_percentage,fbref_goalkeeping_awayteam_pkatt,fbref_goalkeeping_awayteam_pka,fbref_goalkeeping_awayteam_pksv,fbref_goalkeeping_awayteam_pkm,fbref_full_season_format,fbref_shortened_season
2021-08-08,15:00,Premiership,Regular season,Sun,Celtic,Dundee,W,6,0,75.0,24500.0,Callum McGregor,Euan Anderson,L,0,6,25.0,24500.0,Charlie Adam,4-5-1,4-3-3,W,6.0,0.0,6,31.0,15.0,48.4,0.16,0.33,1,1,L,0.0,6.0,0,3.0,0.0,0.0,0.0,,0,0,W,6.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,L,0.0,6.0,6.0,6.0,6.0,13.0,8.0,61.5,1,1,0,0,2021/2022,21/22
2021-08-21,15:00,Premiership,Regular season,Sat,Celtic,St Mirren,W,6,0,74.0,,Callum McGregor,William Collum,L,0,6,26.0,,Joe Shaughnessy,3-5-1-1,4-3-3,W,6.0,0.0,6,37.0,12.0,32.4,0.16,0.5,0,0,L,0.0,6.0,0,3.0,1.0,33.3,0.0,0.0,0,0,W,6.0,0.0,0.0,0.0,0.0,1.0,100.0,0,0,0,0,L,0.0,6.0,6.0,6.0,6.0,12.0,6.0,50.0,0,0,0,0,2021/2022,21/22
2021-09-11,15:00,Premiership,Regular season,Sat,Celtic,Ross County,W,3,0,77.0,,Callum McGregor,Don Robertson,L,0,3,23.0,,Blair Spittal,4-2-3-1,4-3-3,W,3.0,0.0,3,21.0,8.0,38.1,0.14,0.38,0,0,L,0.0,3.0,0,5.0,2.0,40.0,0.0,0.0,0,0,W,3.0,0.0,0.0,0.0,0.0,2.0,100.0,0,0,0,0,L,0.0,3.0,3.0,3.0,3.0,8.0,5.0,62.5,0,0,0,0,2021/2022,21/22
2021-09-26,15:00,Premiership,Regular season,Sun,Celtic,Dundee United,D,1,1,63.0,,Joe Hart,Kevin Clancy,D,1,1,37.0,,Benjamin Siegrist,4-3-3,4-3-3,D,1.0,1.0,1,22.0,7.0,31.8,0.05,0.14,0,0,D,1.0,1.0,1,12.0,4.0,33.3,0.08,0.25,0,0,D,1.0,1.0,1.0,1.0,1.0,3.0,75.0,0,0,0,0,D,1.0,1.0,1.0,1.0,1.0,5.0,4.0,80.0,0,0,0,0,2021/2022,21/22
2021-10-23,15:00,Premiership,Regular season,Sat,Celtic,St Johnstone,W,2,0,79.0,,Callum McGregor,Nick Walsh,L,0,2,21.0,,Liam Gordon,3-4-3,4-3-3,W,2.0,0.0,2,20.0,5.0,25.0,0.05,0.2,1,1,L,0.0,2.0,0,4.0,0.0,0.0,0.0,,0,0,W,2.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,L,0.0,2.0,2.0,2.0,2.0,4.0,3.0,75.0,1,1,0,0,2021/2022,21/22
2021-10-30,15:00,Premiership,Regular season,Sat,Celtic,Livingston,D,0,0,85.0,,Callum McGregor,Bobby Madden,D,0,0,15.0,,Nicky Devlin,5-4-1,4-3-3,D,0.0,0.0,0,16.0,2.0,12.5,0.0,0.0,0,1,D,0.0,0.0,0,2.0,0.0,0.0,0.0,,0,0,D,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0,1,0,2021/2022,21/22
2021-11-28,15:00,Premiership,Regular season,Sun,Celtic,Aberdeen,W,2,1,61.0,,Callum McGregor,Kevin Clancy,L,1,2,39.0,,Scott Brown,4-3-3,4-3-3,W,2.0,1.0,2,20.0,5.0,25.0,0.1,0.4,0,0,L,1.0,2.0,1,4.0,2.0,50.0,0.0,0.0,1,1,W,2.0,1.0,1.0,1.0,1.0,1.0,100.0,1,1,0,0,L,1.0,2.0,2.0,2.0,2.0,5.0,3.0,60.0,0,0,0,0,2021/2022,21/22
2021-12-02,19:45,Premiership,Regular season,Thu,Celtic,Hearts,W,1,0,69.0,,Callum McGregor,Bobby Madden,L,0,1,31.0,,Craig Gordon,4-2-3-1,4-3-3,W,1.0,0.0,1,25.0,5.0,20.0,0.04,0.2,0,0,L,0.0,1.0,0,9.0,2.0,22.2,0.0,0.0,0,0,W,1.0,0.0,0.0,0.0,0.0,2.0,100.0,0,0,0,0,L,0.0,1.0,1.0,1.0,1.0,5.0,4.0,80.0,0,0,0,0,2021/2022,21/22
2021-12-12,15:00,Premiership,Regular season,Sun,Celtic,Motherwell,W,1,0,71.0,42.0,Callum McGregor,Euan Anderson,L,0,1,29.0,42.0,Stephen O'Donnell,4-3-3,4-3-3,W,1.0,0.0,1,26.0,7.0,26.9,0.04,0.14,0,0,L,0.0,1.0,0,9.0,1.0,11.1,0.0,0.0,0,0,W,1.0,0.0,0.0,0.0,0.0,1.0,100.0,0,0,0,0,L,0.0,1.0,1.0,1.0,1.0,7.0,6.0,85.7,0,0,0,0,2021/2022,21/22
2022-01-17,19:45,Premiership,Regular season,Mon,Celtic,Hibernian,W,2,0,47.0,,Callum McGregor,William Collum,L,0,2,53.0,,Paul Hanlon,3-4-1-2,4-3-3,W,2.0,0.0,2,21.0,5.0,23.8,0.05,0.2,1,1,L,0.0,2.0,0,5.0,0.0,0.0,0.0,,0,0,W,2.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,L,0.0,2.0,2.0,2.0,2.0,4.0,3.0,75.0,1,1,0,0,2021/2022,21/22
