fbref_date,fbref_time,fbref_comp,fbref_round,fbref_day,fbref_hometeam,fbref_awayteam,fbref_score_fixtures_hometeam_result,fbref_score_fixtures_hometeam_gf,fbref_score_fixtures_hometeam_ga,fbref_score_fixtures_hometeam_poss,fbref_score_fixtures_hometeam_attendance,fbref_score_fixtures_hometeam_captain,fbref_referee,fbref_score_fixtures_awayteam_result,fbref_score_fixtures_awayteam_gf,fbref_score_fixtures_awayteam_ga,fbref_score_fixtures_awayteam_poss,fbref_score_fixtures_awayteam_attendance,fbref_score_fixtures_awayteam_captain,fbref_score_fixtures_awayteam_formation,fbref_score_fixtures_hometeam_formation,fbref_shooting_hometeam_result,fbref_shooting_hometeam_gf,fbref_shooting_hometeam_ga,fbref_shooting_hometeam_gls,fbref_shooting_hometeam_sh,fbref_shooting_hometeam_sot,fbref_shooting_hometeam_sot_percentage,fbref_shooting_hometeam_gsh,fbref_shooting_hometeam_gsot,fbref_shooting_hometeam_pk,fbref_shooting_hometeam_pkatt,fbref_shooting_awayteam_result,fbref_shooting_awayteam_gf,fbref_shooting_awayteam_ga,fbref_shooting_awayteam_gls,fbref_shooting_awayteam_sh,fbref_shooting_awayteam_sot,fbref_shooting_awayteam_sot_percentage,fbref_shooting_awayteam_gsh,fbref_shooting_awayteam_gsot,fbref_shooting_awayteam_pk,fbref_shooting_awayteam_pkatt,fbref_goalkeeping_hometeam_result,fbref_goalkeeping_hometeam_gf,fbref_goalkeeping_hometeam_ga,fbref_goalkeeping_hometeam_ga,fbref_goalkeeping_hometeam_ga,fbref_goalkeeping_hometeam_ga,fbref_goalkeeping_hometeam_saves,fbref_goalkeeping_hometeam_save_percentage,fbref_goalkeeping_hometeam_pkatt,fbref_goalkeeping_hometeam_pka,fbref_goalkeeping_hometeam_pksv,fbref_goalkeeping_hometeam_pkm,fbref_goalkeeping_awayteam_result,fbref_goalkeeping_awayteam_gf,fbref_goalkeeping_awayteam_ga,fbref_goalkeeping_awayteam_ga,fbref_goalkeeping_awayteam_ga,fbref_goalkeeping_awayteam_ga,fbref_goalkeeping_awayteam_sota,fbref_goalkeeping_awayteam_saves,fbref_goalkeeping_awayteam_save_percentage,fbref_goalkeeping_awayteam_pkatt,fbref_goalkeeping_awayteam_pka,fbref_goalkeeping_awayteam_pksv,fbref_goalkeeping_awayteam_pkm,fbref_full_season_format,fbref_shortened_season
2020-08-09,15:00,Premiership,Regular season,Sun,Rangers,St Mirren,W,3,0,74.0,,James Tavernier,Andrew Dallas,L,0,3,27.0,,Sam Foley,4-1-4-1,4-3-3,W,3.0,0.0,2,28.0,12.0,42.9,0.07,0.17,0,0,L,0.0,3.0,0,4.0,2.0,50.0,0.0,0.0,0,0,W,3.0,0.0,0.0,0.0,0.0,2.0,100.0,0,0,0,0,L,0.0,3.0,3.0,3.0,3.0,13.0,10.0,76.9,0,0,0,0,2020/2021,20/21
2020-08-12,19:45,Premiership,Regular season,Wed,Rangers,St Johnstone,W,3,0,75.0,,James Tavernier,Euan Anderson,L,0,3,25.0,,Jason Kerr,3-4-3,4-3-3,W,3.0,0.0,3,15.0,5.0,33.3,0.2,0.6,0,0,L,0.0,3.0,0,4.0,2.0,50.0,0.0,0.0,0,0,W,3.0,0.0,0.0,0.0,0.0,2.0,100.0,0,0,0,0,L,0.0,3.0,3.0,3.0,3.0,5.0,2.0,40.0,0,0,0,0,2020/2021,20/21
2020-08-22,15:00,Premiership,Regular season,Sat,Rangers,Kilmarnock,W,2,0,75.0,,James Tavernier,Kevin Clancy,L,0,2,25.0,,Gary Dicker,4-3-3,4-2-3-1,W,2.0,0.0,2,26.0,11.0,42.3,0.08,0.18,0,0,L,0.0,2.0,0,2.0,0.0,0.0,0.0,,0,0,W,2.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,L,0.0,2.0,2.0,2.0,2.0,9.0,7.0,77.8,0,0,0,0,2020/2021,20/21
2020-09-12,15:00,Premiership,Regular season,Sat,Rangers,Dundee United,W,4,0,61.0,,James Tavernier,Kevin Clancy,L,0,4,39.0,,Mark Reynolds,3-5-2,4-2-3-1,W,4.0,0.0,4,24.0,9.0,37.5,0.17,0.44,0,0,L,0.0,4.0,0,6.0,1.0,16.7,0.0,0.0,0,0,W,4.0,0.0,0.0,0.0,0.0,1.0,100.0,0,0,0,0,L,0.0,4.0,4.0,4.0,4.0,9.0,5.0,55.6,0,0,0,0,2020/2021,20/21
2020-10-04,15:00,Premiership,Regular season,Sun,Rangers,Ross County,W,2,0,72.0,,James Tavernier,Greg Aitken,L,0,2,28.0,,Callum Morris,5-4-1,4-2-3-1,W,2.0,0.0,2,15.0,4.0,26.7,0.07,0.25,1,1,L,0.0,2.0,0,4.0,0.0,0.0,0.0,,0,0,W,2.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,L,0.0,2.0,2.0,2.0,2.0,3.0,2.0,66.7,1,1,0,0,2020/2021,20/21
2020-10-25,15:00,Premiership,Regular season,Sun,Rangers,Livingston,W,2,0,70.0,,James Tavernier,Nick Walsh,L,0,2,30.0,,Marvin Bartley,3-4-3,4-2-3-1,W,2.0,0.0,2,11.0,7.0,63.6,0.18,0.29,0,0,L,0.0,2.0,0,4.0,1.0,25.0,0.0,0.0,0,0,W,2.0,0.0,0.0,0.0,0.0,1.0,100.0,0,0,0,0,L,0.0,2.0,2.0,2.0,2.0,8.0,6.0,75.0,0,0,0,0,2020/2021,20/21
2020-11-08,15:00,Premiership,Regular season,Sun,Rangers,Hamilton,W,8,0,77.0,,James Tavernier,Steven McLean,L,0,8,23.0,,Brian Easton,3-5-2,4-3-3,W,8.0,0.0,8,24.0,14.0,58.3,0.29,0.5,1,1,L,0.0,8.0,0,0.0,0.0,,,,0,0,W,8.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,L,0.0,8.0,8.0,8.0,8.0,13.0,6.0,46.2,1,1,0,0,2020/2021,20/21
2020-11-22,12:00,Premiership,Regular season,Sun,Rangers,Aberdeen,W,4,0,71.0,,James Tavernier,Nick Walsh,L,0,4,29.0,,Joe Lewis,3-4-3,4-3-3,W,4.0,0.0,4,16.0,5.0,31.3,0.19,0.6,1,1,L,0.0,4.0,0,7.0,4.0,57.1,0.0,0.0,0,0,W,4.0,0.0,0.0,0.0,0.0,3.0,100.0,0,0,0,0,L,0.0,4.0,4.0,4.0,4.0,5.0,2.0,40.0,1,1,0,0,2020/2021,20/21
2020-12-19,15:00,Premiership,Regular season,Sat,Rangers,Motherwell,W,3,1,82.0,,James Tavernier,Don Robertson,L,1,3,18.0,,Declan Gallagher,5-3-2,4-3-3,W,3.0,1.0,3,20.0,8.0,40.0,0.15,0.38,0,0,L,1,3,1,4.0,3.0,75.0,0.25,0.33,0,0,W,3.0,1.0,1.0,1.0,1.0,1.0,50.0,0,0,0,0,L,1,3,3.0,3,3.0,8.0,5.0,62.5,0,0,0,0,2020/2021,20/21
2020-12-26,12:30,Premiership,Regular season,Sat,Rangers,Hibernian,W,1,0,63.0,,James Tavernier,William Collum,L,0,1,37.0,,Paul Hanlon,5-3-2,4-3-3,W,1.0,0.0,1,15.0,5.0,33.3,0.07,0.2,0,0,L,0.0,1.0,0,9.0,1.0,11.1,0.0,0.0,0,0,W,1.0,0.0,0.0,0.0,0.0,1.0,100.0,0,0,0,0,L,0.0,1.0,1.0,1.0,1.0,4.0,3.0,75.0,0,0,0,0,2020/2021,20/21
