fbref_date,fbref_time,fbref_comp,fbref_round,fbref_day,fbref_hometeam,fbref_awayteam,fbref_score_fixtures_hometeam_result,fbref_score_fixtures_hometeam_gf,fbref_score_fixtures_hometeam_ga,fbref_score_fixtures_hometeam_poss,fbref_score_fixtures_hometeam_attendance,fbref_score_fixtures_hometeam_captain,fbref_referee,fbref_score_fixtures_awayteam_result,fbref_score_fixtures_awayteam_gf,fbref_score_fixtures_awayteam_ga,fbref_score_fixtures_awayteam_poss,fbref_score_fixtures_awayteam_attendance,fbref_score_fixtures_awayteam_captain,fbref_score_fixtures_awayteam_formation,fbref_score_fixtures_hometeam_formation,fbref_shooting_hometeam_result,fbref_shooting_hometeam_gf,fbref_shooting_hometeam_ga,fbref_shooting_hometeam_gls,fbref_shooting_hometeam_sh,fbref_shooting_hometeam_sot,fbref_shooting_hometeam_sot_percentage,fbref_shooting_hometeam_gsh,fbref_shooting_hometeam_gsot,fbref_shooting_hometeam_pk,fbref_shooting_hometeam_pkatt,fbref_shooting_awayteam_result,fbref_shooting_awayteam_gf,fbref_shooting_awayteam_ga,fbref_shooting_awayteam_gls,fbref_shooting_awayteam_sh,fbref_shooting_awayteam_sot,fbref_shooting_awayteam_sot_percentage,fbref_shooting_awayteam_gsh,fbref_shooting_awayteam_gsot,fbref_shooting_awayteam_pk,fbref_shooting_awayteam_pkatt,fbref_goalkeeping_hometeam_result,fbref_goalkeeping_hometeam_gf,fbref_goalkeeping_hometeam_ga,fbref_goalkeeping_hometeam_ga,fbref_goalkeeping_hometeam_ga,fbref_goalkeeping_hometeam_ga,fbref_goalkeeping_hometeam_saves,fbref_goalkeeping_hometeam_save_percentage,fbref_goalkeeping_hometeam_pkatt,fbref_goalkeeping_hometeam_pka,fbref_goalkeeping_hometeam_pksv,fbref_goalkeeping_hometeam_pkm,fbref_goalkeeping_awayteam_result,fbref_goalkeeping_awayteam_gf,fbref_goalkeeping_awayteam_ga,fbref_goalkeeping_awayteam_ga,fbref_goalkeeping_awayteam_ga,fbref_goalkeeping_awayteam_ga,fbref_goalkeeping_awayteam_sota,fbref_goalkeeping_awayteam_saves,fbref_goalkeeping_awayteam_save_percentage,fbref_goalkeeping_awayteam_pkatt,fbref_goalkeeping_awayteam_pka,fbref_goalkeeping_awayteam_pksv,fbref_goalkeeping_awayteam_pkm,fbref_full_season_format,fbref_shortened_season
2023-08-05,12:30,Premiership,Regular season,Sat,Celtic,Ross County,W,4,2,75.0,58772,Callum McGregor,Nick Walsh,L,2,4,25.0,58772,Jack Baldwin,3-4-1-2,4-3-3,W,4.0,2.0,4,18.0,12.0,66.7,0.17,0.25,1,1,L,2.0,4.0,2,7.0,2.0,28.6,0.29,1.0,0,0,W,4.0,2.0,2.0,2.0,2.0,0.0,0.0,0,0,0,0,L,2.0,4.0,4.0,4.0,4.0,11.0,8.0,72.7,1,1,0,0,2023/2024,23/24
2023-08-26,15:00,Premiership,Regular season,Sat,Celtic,St Johnstone,D,0,0,75.0,58600,Callum McGregor,Matthew MacDermid,D,0,0,25.0,58600,Daniel Phillips,4-4-1-1,4-3-3,D,0.0,0.0,0,19.0,5.0,26.3,0.0,0.0,0,0,D,0.0,0.0,0,5.0,2.0,40.0,0.0,0.0,0,0,D,0.0,0.0,0.0,0.0,0.0,2.0,100.0,0,0,0,0,D,0.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,0,0,0,0,2023/2024,23/24
2023-09-16,15:00,Premiership,Regular season,Sat,Celtic,Dundee,W,3,0,74.0,58928,Callum McGregor,Grant Irvine,L,0,3,26.0,58928,Joe Shaughnessy,4-4-2,4-3-3,W,3.0,0.0,3,19.0,7.0,36.8,0.11,0.29,1,1,L,0.0,3.0,0,4.0,1.0,25.0,0.0,0.0,0,0,W,3.0,0.0,0.0,0.0,0.0,1.0,100.0,0,0,0,0,L,0.0,3.0,3.0,3.0,3.0,6.0,4.0,66.7,1,1,0,0,2023/2024,23/24
2023-10-07,15:00,Premiership,Regular season,Sat,Celtic,Kilmarnock,W,3,1,77.0,58295,Callum McGregor,Matthew MacDermid,L,1,3,23.0,58295,Kyle Vassell,3-5-2,4-3-3,W,3.0,1.0,3,27.0,12.0,44.4,0.11,0.25,0,0,L,1.0,3.0,1,6.0,1.0,16.7,0.17,1.0,0,0,W,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,L,1.0,3.0,3.0,3.0,3.0,12.0,9.0,75.0,0,0,0,0,2023/2024,23/24
2023-11-01,19:45,Premiership,Regular season,Wed,Celtic,St Mirren,W,2,1,76.0,58168,Callum McGregor,John Beaton,L,1,2,25.0,58168,Mark O'Hara,3-4-3,4-3-3,W,2.0,1.0,2,23.0,8.0,34.8,0.09,0.25,0,1,L,1.0,2.0,1,6.0,2.0,33.3,0.17,0.5,0,0,W,2.0,1.0,1.0,1.0,1.0,1.0,50.0,0,0,0,0,L,1.0,2.0,2.0,2.0,2.0,9.0,7.0,77.8,1,0,0,1,2023/2024,23/24
2023-11-12,14:30,Premiership,Regular season,Sun,Celtic,Aberdeen,W,6,0,78.0,58885,Callum McGregor,William Collum,L,0,6,22.0,58885,Graeme Shinnie,5-4-1,4-3-3,W,6.0,0.0,6,21.0,10.0,47.6,0.24,0.5,1,1,L,0.0,6.0,0,3.0,1.0,33.3,0.0,0.0,0,0,W,6.0,0.0,0.0,0.0,0.0,1.0,100.0,0,0,0,0,L,0.0,6.0,6.0,6.0,6.0,9.0,4.0,44.4,1,1,0,0,2023/2024,23/24
2023-11-25,15:00,Premiership,Regular season,Sat,Celtic,Motherwell,D,1,1,81.0,58140,Callum McGregor,Steven McLean,D,1,1,19.0,58140,Liam Kelly,5-3-2,4-3-3,D,1.0,1.0,1,20.0,4.0,20.0,0.0,0.0,1,2,D,1.0,1.0,1,6.0,2.0,33.3,0.17,0.5,0,0,D,1.0,1.0,1.0,1.0,1.0,1.0,50.0,0,0,0,0,D,1.0,1.0,1.0,1.0,1.0,3.0,4.0,100.0,2,1,1,0,2023/2024,23/24
2023-12-06,19:45,Premiership,Regular season,Wed,Celtic,Hibernian,W,4,1,61.0,58892,Callum McGregor,John Beaton,L,1,4,39.0,58892,Joe Newell,4-4-2,4-3-3,W,4.0,1.0,4,26.0,12.0,46.2,0.12,0.25,1,1,L,1.0,4.0,1,6.0,3.0,50.0,0.17,0.33,0,0,W,4.0,1.0,1.0,1.0,1.0,2.0,66.7,0,0,0,0,L,1.0,4.0,4.0,4.0,4.0,11.0,8.0,72.7,1,1,0,0,2023/2024,23/24
2023-12-16,15:00,Premiership,Regular season,Sat,Celtic,Hearts,L,0,2,77.0,58816,Callum McGregor,Kevin Clancy,W,2,0,23.0,58816,Lawrence Shankland,3-5-2,4-3-3,L,0.0,2.0,0,22.0,5.0,22.7,0.0,0.0,0,0,W,2.0,0.0,2,5.0,2.0,40.0,0.4,1.0,0,0,L,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0,0,0,0,W,2.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,0,0,0,0,2023/2024,23/24
2023-12-23,15:00,Premiership,Regular season,Sat,Celtic,Livingston,W,2,0,77.0,58703,Callum McGregor,Matthew MacDermid,L,0,2,23.0,58703,Jason Holt,3-4-3,4-3-3,W,2.0,0.0,2,22.0,7.0,31.8,0.09,0.29,0,0,L,0.0,2.0,0,0.0,0.0,,,,0,0,W,2.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,L,0.0,2.0,2.0,2.0,2.0,7.0,5.0,71.4,0,0,0,0,2023/2024,23/24
