fbref_date,fbref_time,fbref_comp,fbref_round,fbref_day,fbref_hometeam,fbref_awayteam,fbref_score_fixtures_hometeam_result,fbref_score_fixtures_hometeam_gf,fbref_score_fixtures_hometeam_ga,fbref_score_fixtures_hometeam_poss,fbref_score_fixtures_hometeam_attendance,fbref_score_fixtures_hometeam_captain,fbref_referee,fbref_score_fixtures_awayteam_result,fbref_score_fixtures_awayteam_gf,fbref_score_fixtures_awayteam_ga,fbref_score_fixtures_awayteam_poss,fbref_score_fixtures_awayteam_attendance,fbref_score_fixtures_awayteam_captain,fbref_score_fixtures_awayteam_formation,fbref_score_fixtures_hometeam_formation,fbref_shooting_hometeam_result,fbref_shooting_hometeam_gf,fbref_shooting_hometeam_ga,fbref_shooting_hometeam_gls,fbref_shooting_hometeam_sh,fbref_shooting_hometeam_sot,fbref_shooting_hometeam_sot_percentage,fbref_shooting_hometeam_gsh,fbref_shooting_hometeam_gsot,fbref_shooting_hometeam_pk,fbref_shooting_hometeam_pkatt,fbref_shooting_awayteam_result,fbref_shooting_awayteam_gf,fbref_shooting_awayteam_ga,fbref_shooting_awayteam_gls,fbref_shooting_awayteam_sh,fbref_shooting_awayteam_sot,fbref_shooting_awayteam_sot_percentage,fbref_shooting_awayteam_gsh,fbref_shooting_awayteam_gsot,fbref_shooting_awayteam_pk,fbref_shooting_awayteam_pkatt,fbref_goalkeeping_hometeam_result,fbref_goalkeeping_hometeam_gf,fbref_goalkeeping_hometeam_ga,fbref_goalkeeping_hometeam_ga,fbref_goalkeeping_hometeam_ga,fbref_goalkeeping_hometeam_ga,fbref_goalkeeping_hometeam_saves,fbref_goalkeeping_hometeam_save_percentage,fbref_goalkeeping_hometeam_pkatt,fbref_goalkeeping_hometeam_pka,fbref_goalkeeping_hometeam_pksv,fbref_goalkeeping_hometeam_pkm,fbref_goalkeeping_awayteam_result,fbref_goalkeeping_awayteam_gf,fbref_goalkeeping_awayteam_ga,fbref_goalkeeping_awayteam_ga,fbref_goalkeeping_awayteam_ga,fbref_goalkeeping_awayteam_ga,fbref_goalkeeping_awayteam_sota,fbref_goalkeeping_awayteam_saves,fbref_goalkeeping_awayteam_save_percentage,fbref_goalkeeping_awayteam_pkatt,fbref_goalkeeping_awayteam_pka,fbref_goalkeeping_awayteam_pksv,fbref_goalkeeping_awayteam_pkm,fbref_full_season_format,fbref_shortened_season
2017-08-05,12:30,Premiership,Regular season,Sat,Celtic,Hearts,W,4,1,,58843,Scott Brown,Kevin Clancy,L,1,4,,58843,Christophe Berra,4-5-1,4-2-3-1,W,4.0,1.0,4,0.0,0.0,,,,0,0,L,1.0,4.0,1,0.0,0.0,,,,0,0,W,4.0,1.0,1,1.0,1,0.0,,0,0,0,0,L,1.0,4.0,4,4.0,4,0.0,0.0,,0,0,0,0,2017/2018,17/18
2017-08-26,15:00,Premiership,Regular season,Sat,Celtic,St Johnstone,D,1,1,,58446,Scott Brown,William Collum,D,1,1,,58446,Steven Anderson,4-1-4-1,4-2-3-1,D,1.0,1.0,1,0.0,0.0,,,,0,0,D,1.0,1.0,1,0.0,0.0,,,,0,0,D,1.0,1.0,1,1.0,1,0.0,,0,0,0,0,D,1.0,1.0,1,1.0,1,0.0,0.0,,0,0,0,0,2017/2018,17/18
2017-09-16,15:00,Premiership,Regular season,Sat,Celtic,Ross County,W,4,0,,58624,Scott Brown,Steven McLean,L,0,4,,58624,Andrew Davies,4-5-1,3-5-2,W,4.0,0.0,4,0.0,0.0,,,,0,0,L,0.0,4.0,0,0.0,0.0,,,,0,0,W,4.0,0.0,0,0.0,0,0.0,,0,0,0,0,L,0.0,4.0,4,4.0,4,0.0,0.0,,0,0,0,0,2017/2018,17/18
2017-09-30,15:00,Premiership,Regular season,Sat,Celtic,Hibernian,D,2,2,,59259,Mikael Lustig,William Collum,D,2,2,,59259,Paul Hanlon,4-5-1,3-5-2,D,2.0,2.0,2,0.0,0.0,,,,0,0,D,2.0,2.0,2,0.0,0.0,,,,0,0,D,2.0,2.0,2,2.0,2,0.0,,0,0,0,0,D,2.0,2.0,2,2.0,2,0.0,0.0,,0,0,0,0,2017/2018,17/18
2017-10-14,15:00,Premiership,Regular season,Sat,Celtic,Dundee,W,1,0,,57610,Kieran Tierney,Andrew Dallas,L,0,1,,57610,Darren O'Dea,3-5-1-1,4-2-3-1,W,1.0,0.0,1,0.0,0.0,,,,0,0,L,0.0,1.0,0,0.0,0.0,,,,0,0,W,1.0,0.0,0,0.0,0,0.0,,0,0,0,0,L,0.0,1.0,1,1.0,1,0.0,0.0,,0,0,0,0,2017/2018,17/18
2017-10-28,15:00,Premiership,Regular season,Sat,Celtic,Kilmarnock,D,1,1,,58060,Mikael Lustig,Nick Walsh,D,1,1,,58060,Gordon Greer,4-4-1-1,4-2-3-1,D,1.0,1.0,1,0.0,0.0,,,,0,0,D,1.0,1.0,1,0.0,0.0,,,,0,0,D,1.0,1.0,1,1.0,1,0.0,,0,0,0,0,D,1.0,1.0,1,1.0,1,0.0,0.0,,0,0,0,0,2017/2018,17/18
2017-12-02,15:00,Premiership,Regular season,Sat,Celtic,Motherwell,W,5,1,,57817,Scott Brown,Kevin Clancy,L,1,5,,57817,Trevor Carson,4-4-2,4-2-3-1,W,5.0,1.0,5,0.0,0.0,,,,0,0,L,1.0,5.0,1,0.0,0.0,,,,0,0,W,5.0,1.0,1,1.0,1,0.0,,0,0,0,0,L,1.0,5.0,5,5.0,5,0.0,0.0,,0,0,0,0,2017/2018,17/18
2017-12-13,19:45,Premiership,Regular season,Wed,Celtic,Hamilton,W,3,1,,53883,Scott Brown,Stephen Finnie,L,1,3,,53883,Dougie Imrie,3-5-2,3-5-2,W,3.0,1.0,3,0.0,0.0,,,,0,0,L,1.0,3.0,1,0.0,0.0,,,,0,0,W,3.0,1.0,1,1.0,1,0.0,,0,0,0,0,L,1.0,3.0,3,3.0,3,0.0,0.0,,0,0,0,0,2017/2018,17/18
2017-12-20,19:45,Premiership,Regular season,Wed,Celtic,Partick Thistle,W,2,0,,54187,Scott Brown,Albion Avdijaj,L,0,2,,54187,Danny Devine,4-5-1,4-2-3-1,W,2.0,0.0,2,0.0,0.0,,,,0,0,L,0.0,2.0,0,0.0,0.0,,,,0,0,W,2.0,0.0,0,0.0,0,0.0,,0,0,0,0,L,0.0,2.0,2,2.0,2,0.0,0.0,,0,0,0,0,2017/2018,17/18
2017-12-23,15:00,Premiership,Regular season,Sat,Celtic,Aberdeen,W,3,0,,58975,Scott Brown,Craig Thomson,L,0,3,,58975,Graeme Shinnie,4-1-4-1,4-2-3-1,W,3.0,0.0,3,0.0,0.0,,,,0,0,L,0.0,3.0,0,0.0,0.0,,,,0,0,W,3.0,0.0,0,0.0,0,0.0,,0,0,0,0,L,0.0,3.0,3,3.0,3,0.0,0.0,,0,0,0,0,2017/2018,17/18
2017-12-30,12:00,Premiership,Regular season,Sat,Celtic,Rangers,D,0,0,,59004,Scott Brown,Bobby Madden,D,0,0,,59004,Danny Wilson,4-5-1,4-2-3-1,D,0.0,0.0,0,0.0,0.0,,,,0,0,D,0.0,0.0,0,0.0,0.0,,,,0,0,D,0.0,0.0,0,0.0,0,0.0,,0,0,0,0,D,0.0,0.0,0,0.0,0,0.0,0.0,,0,0,0,0,2017/2018,17/18
2018-01-27,15:00,Premiership,Regular season,Sat,Celtic,Hibernian,W,1,0,,55000,Scott Brown,Bobby Madden,L,0,1,,55000,Paul Hanlon,4-5-1,4-2-3-1,W,1.0,0.0,1,0.0,0.0,,,,0,0,L,0.0,1.0,0,0.0,0.0,,,,0,0,W,1.0,0.0,0,0.0,0,0.0,,0,0,0,0,L,0.0,1.0,1,1.0,1,0.0,0.0,,0,0,0,0,2017/2018,17/18
2018-01-30,19:45,Premiership,Regular season,Tue,Celtic,Hearts,W,3,1,,56296,Scott Brown,Craig Thomson,L,1,3,,56296,Christophe Berra,4-5-1,3-5-2,W,3.0,1.0,3,0.0,0.0,,,,0,0,L,1.0,3.0,1,0.0,0.0,,,,0,0,W,3.0,1.0,1,1.0,1,0.0,,0,0,0,0,L,1.0,3.0,3,3.0,3,0.0,0.0,,0,0,0,0,2017/2018,17/18
2018-02-18,15:00,Premiership,Regular season,Sun,Celtic,St Johnstone,D,0,0,,56867,Callum McGregor,John Beaton,D,0,0,,56867,Joe Shaughnessy,3-5-2,4-2-3-1,D,0.0,0.0,0,0.0,0.0,,,,0,0,D,0.0,0.0,0,0.0,0.0,,,,0,0,D,0.0,0.0,0,0.0,0,0.0,,0,0,0,0,D,0.0,0.0,0,0.0,0,0.0,0.0,,0,0,0,0,2017/2018,17/18
2018-03-31,15:00,Premiership,Regular season,Sat,Celtic,Ross County,W,3,0,,58765,Scott Brown,Steven McLean,L,0,3,,58765,Andrew Davies,5-3-2,4-2-3-1,W,3.0,0.0,3,0.0,0.0,,,,1,1,L,0.0,3.0,0,0.0,0.0,,,,0,0,W,3.0,0.0,0,0.0,0,0.0,,0,0,0,0,L,0.0,3.0,0,3.0,0,0.0,0.0,,1,1,0,0,2017/2018,17/18
