fbref_date,fbref_time,fbref_comp,fbref_round,fbref_day,fbref_hometeam,fbref_awayteam,fbref_score_fixtures_hometeam_result,fbref_score_fixtures_hometeam_gf,fbref_score_fixtures_hometeam_ga,fbref_score_fixtures_hometeam_poss,fbref_score_fixtures_hometeam_attendance,fbref_score_fixtures_hometeam_captain,fbref_referee,fbref_score_fixtures_awayteam_result,fbref_score_fixtures_awayteam_gf,fbref_score_fixtures_awayteam_ga,fbref_score_fixtures_awayteam_poss,fbref_score_fixtures_awayteam_attendance,fbref_score_fixtures_awayteam_captain,fbref_score_fixtures_awayteam_formation,fbref_score_fixtures_hometeam_formation,fbref_shooting_hometeam_result,fbref_shooting_hometeam_gf,fbref_shooting_hometeam_ga,fbref_shooting_hometeam_gls,fbref_shooting_hometeam_sh,fbref_shooting_hometeam_sot,fbref_shooting_hometeam_sot_percentage,fbref_shooting_hometeam_gsh,fbref_shooting_hometeam_gsot,fbref_shooting_hometeam_pk,fbref_shooting_hometeam_pkatt,fbref_shooting_awayteam_result,fbref_shooting_awayteam_gf,fbref_shooting_awayteam_ga,fbref_shooting_awayteam_gls,fbref_shooting_awayteam_sh,fbref_shooting_awayteam_sot,fbref_shooting_awayteam_sot_percentage,fbref_shooting_awayteam_gsh,fbref_shooting_awayteam_gsot,fbref_shooting_awayteam_pk,fbref_shooting_awayteam_pkatt,fbref_goalkeeping_hometeam_result,fbref_goalkeeping_hometeam_gf,fbref_goalkeeping_hometeam_ga,fbref_goalkeeping_hometeam_ga,fbref_goalkeeping_hometeam_ga,fbref_goalkeeping_hometeam_ga,fbref_goalkeeping_hometeam_saves,fbref_goalkeeping_hometeam_save_percentage,fbref_goalkeeping_hometeam_pkatt,fbref_goalkeeping_hometeam_pka,fbref_goalkeeping_hometeam_pksv,fbref_goalkeeping_hometeam_pkm,fbref_goalkeeping_awayteam_result,fbref_goalkeeping_awayteam_gf,fbref_goalkeeping_awayteam_ga,fbref_goalkeeping_awayteam_ga,fbref_goalkeeping_awayteam_ga,fbref_goalkeeping_awayteam_ga,fbref_goalkeeping_awayteam_sota,fbref_goalkeeping_awayteam_saves,fbref_goalkeeping_awayteam_save_percentage,fbref_goalkeeping_awayteam_pkatt,fbref_goalkeeping_awayteam_pka,fbref_goalkeeping_awayteam_pksv,fbref_goalkeeping_awayteam_pkm,fbref_full_season_format,fbref_shortened_season
2022-07-31,16:30,Premiership,Regular season,Sun,Celtic,Aberdeen,W,2,0,69.0,58824,Callum McGregor,Nick Walsh,L,0,2,31.0,58824,Anthony Stewart,4-2-3-1,4-2-3-1,W,2.0,0.0,2,21.0,9.0,42.9,0.1,0.22,0,0,L,0.0,2.0,0,5.0,3.0,60.0,0.0,0.0,0,0,W,2.0,0.0,0.0,0.0,0.0,3.0,100.0,0,0,0,0,L,0.0,2.0,2.0,2.0,2.0,9.0,7.0,77.8,0,0,0,0,2022/2023,22/23
2022-08-21,15:00,Premiership,Regular season,Sun,Celtic,Hearts,W,2,0,69.0,58776,Callum McGregor,Kevin Clancy,L,0,2,31.0,58776,Peter Haring,4-2-3-1,4-3-3,W,2.0,0.0,2,15.0,7.0,46.7,0.13,0.29,0,0,L,0.0,2.0,0,4.0,0.0,0.0,0.0,,0,0,W,2.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,L,0.0,2.0,2.0,2.0,2.0,7.0,5.0,71.4,0,0,0,0,2022/2023,22/23
2022-09-03,12:30,Premiership,Regular season,Sat,Celtic,Rangers,W,4,0,45.0,58636,Callum McGregor,Nick Walsh,L,0,4,55.0,58636,James Tavernier,4-2-3-1,4-3-3,W,4.0,0.0,4,15.0,6.0,40.0,0.27,0.67,0,0,L,0.0,4.0,0,11.0,2.0,18.2,0.0,0.0,0,0,W,4.0,0.0,0.0,0.0,0.0,2.0,100.0,0,0,0,0,L,0.0,4.0,4.0,4.0,4.0,6.0,2.0,33.3,0,0,0,0,2022/2023,22/23
2022-10-01,15:00,Premiership,Regular season,Sat,Celtic,Motherwell,W,2,1,70.0,58407,Callum McGregor,John Beaton,L,1,2,30.0,58407,Liam Kelly,4-2-3-1,4-3-3,W,2.0,1.0,2,16.0,6.0,37.5,0.13,0.33,0,0,L,1.0,2.0,0,7.0,2.0,28.6,0.0,0.0,0,0,W,2.0,1.0,1.0,1.0,1.0,2.0,66.7,0,0,0,0,L,1.0,2.0,2.0,2.0,2.0,6.0,4.0,66.7,0,0,0,0,2022/2023,22/23
2022-10-15,15:00,Premiership,Regular season,Sat,Celtic,Hibernian,W,6,1,57.0,58969,Cameron Carter-Vickers,Steven McLean,L,1,6,43.0,58969,David Marshall,4-1-4-1,4-3-3,W,6.0,1.0,6,20.0,9.0,45.0,0.3,0.67,0,0,L,1.0,6.0,1,9.0,5.0,55.6,0.11,0.2,0,0,W,6.0,1.0,1.0,1.0,1.0,4.0,80.0,0,0,0,0,L,1.0,6.0,6.0,6.0,6.0,9.0,3.0,33.3,0,0,0,0,2022/2023,22/23
2022-11-05,15:00,Premiership,Regular season,Sat,Celtic,Dundee United,W,4,2,75.0,58696,Cameron Carter-Vickers,David Dickinson,L,2,4,25.0,58696,Ryan Edwards,3-5-1-1,4-3-3,W,4.0,2.0,4,24.0,12.0,50.0,0.17,0.33,0,0,L,2.0,4.0,2,6.0,3.0,50.0,0.17,0.33,1,1,W,4.0,2.0,2.0,2.0,2.0,0.0,0.0,1,1,0,0,L,2.0,4.0,4.0,4.0,4.0,12.0,8.0,66.7,0,0,0,0,2022/2023,22/23
2022-11-12,15:00,Premiership,Regular season,Sat,Celtic,Ross County,W,2,1,75.0,58391,Cameron Carter-Vickers,David Munro,L,1,2,25.0,58391,Keith Watson,4-2-3-1,4-3-3,W,2.0,1.0,2,22.0,7.0,31.8,0.09,0.29,0,0,L,1,2,1,2.0,2.0,100.0,0.0,0.0,1,1,W,2.0,1.0,1.0,1.0,1.0,1.0,100.0,1,1,0,0,L,1,2,2.0,2,2.0,7.0,5.0,71.4,0,0,0,0,2022/2023,22/23
2022-12-21,19:45,Premiership,Regular season,Wed,Celtic,Livingston,W,2,1,77.0,58499,Callum McGregor,Euan Anderson,L,1,2,23.0,58499,Nicky Devlin,5-4-1,4-3-3,W,2.0,1.0,1,23.0,10.0,43.5,0.04,0.1,0,0,L,1.0,2.0,1,3.0,2.0,66.7,0.33,0.5,0,0,W,2.0,1.0,1.0,1.0,1.0,1.0,50.0,0,0,0,0,L,1.0,2.0,2.0,2.0,2.0,11.0,9.0,81.8,0,0,0,0,2022/2023,22/23
2022-12-24,12:30,Premiership,Regular season,Sat,Celtic,St Johnstone,W,4,1,76.0,58635,Callum McGregor,Kevin Clancy,L,1,4,24.0,58635,Liam Gordon,5-3-2,4-3-3,W,4.0,1.0,4,20.0,10.0,50.0,0.2,0.4,0,0,L,1.0,4.0,1,7.0,3.0,42.9,0.14,0.33,0,0,W,4.0,1.0,1.0,1.0,1.0,2.0,66.7,0,0,0,0,L,1.0,4.0,4.0,4.0,4.0,10.0,6.0,60.0,0,0,0,0,2022/2023,22/23
2023-01-07,15:00,Premiership,Regular season,Sat,Celtic,Kilmarnock,W,2,0,79.0,58612,Callum McGregor,Nick Walsh,L,0,2,21.0,58612,Alan Power,5-3-2,4-3-3,W,2.0,0.0,1,24.0,9.0,37.5,0.04,0.11,0,0,L,0.0,2.0,0,2.0,0.0,0.0,0.0,,0,0,W,2.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,L,0.0,2.0,2.0,2.0,2.0,10.0,8.0,80.0,0,0,0,0,2022/2023,22/23
