Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA
2024-09-28,15:00,Kilmarnock,Dundee United,3,3,D,0,1,A,C Napier,15,19,3,8,8,12,7,3,1,2,0,0,2.3,3.25,3.1,2.3,3.2,3.1
2024-09-28,15:00,Motherwell,St Mirren,2,1,H,2,1,H,L Wilson,9,15,4,9,12,13,9,6,4,2,1,1,2.38,3.3,2.88,2.37,3.25,2.85
2024-09-28,17:45,St Johnstone,Celtic,0,6,A,0,3,A,D Robertson,5,19,1,11,9,8,3,13,1,1,0,0,13.0,7.0,1.18,13.0,7.25,1.19
2024-09-29,12:00,Rangers,Hibernian,1,0,H,1,0,H,N Walsh,18,18,4,3,11,12,4,7,2,2,0,0,1.36,5.0,7.5,1.38,5.0,7.0
2024-10-05,15:00,Dundee,Kilmarnock,2,3,A,1,0,H,G Irvine,10,25,3,5,13,9,2,10,1,1,1,0,2.25,3.6,3.0,2.2,3.4,3.0
2024-10-05,15:00,Hibernian,Motherwell,1,2,A,0,0,D,M MacDermid,17,11,7,5,18,6,10,5,3,3,1,0,2.0,3.5,3.6,2.05,3.5,3.4
2024-10-05,15:00,St Mirren,Dundee United,0,1,A,0,0,D,R Hardie,16,12,3,3,4,6,3,3,0,3,0,0,2.3,3.3,3.1,2.3,3.2,3.1
2024-10-06,12:00,Ross County,Celtic,1,2,A,1,0,H,K Clancy,8,23,5,6,11,11,1,9,3,1,0,0,13.0,8.0,1.17,13.5,7.5,1.17
2024-10-06,15:00,Aberdeen,Hearts,3,2,H,1,1,D,A Beaton,11,11,3,3,8,17,2,5,1,4,0,1,1.67,4.0,4.75,1.66,3.75,4.8
2024-10-06,20:00,Rangers,St Johnstone,2,0,H,1,0,H,D Dickinson,21,10,6,2,22,12,7,3,1,1,0,0,1.14,8.5,15.0,1.14,9.0,15.5
2024-05-19,15:00,Livingston,Hibernian,1,1,D,0,0,D,D Munro,4,13,2,3,6,8,4,9,0,1,0,0,4.0,3.8,1.8,4.1,3.7,1.78
2024-05-19,15:00,Motherwell,St Johnstone,1,2,A,0,2,A,C Steven,13,9,5,4,7,9,7,3,0,1,0,0,2.4,3.4,2.8,2.35,3.4,2.8
2024-05-19,15:00,Ross County,Aberdeen,2,2,D,1,1,D,C Graham,15,11,6,4,14,10,3,7,4,1,0,1,2.5,3.9,2.45,2.55,3.5,2.5
