football_data_Date,football_data_Time,football_data_HomeTeam,football_data_AwayTeam,football_data_FTHG,football_data_FTAG,football_data_FTR,football_data_HTHG,football_data_HTAG,football_data_HTR,football_data_Referee,football_data_HS,football_data_AS,football_data_HST,football_data_AST,football_data_HF,football_data_AF,football_data_HC,football_data_AC,football_data_HY,football_data_AY,football_data_HR,football_data_AR,football_data_B365H,football_data_B365D,football_data_B365A,football_data_BWH,football_data_BWD,football_data_BWA,football_data_tournament_season
2023-09-16,12:30,St Johnstone,Rangers,0.0,2.0,A,0.0,1.0,A,N Walsh,3.0,20.0,0.0,6.0,13.0,13.0,3.0,5.0,5.0,2.0,0.0,0.0,12.0,6.5,1.22,11.0,5.75,1.25,23/24
2023-09-16,15:00,Celtic,Dundee,3.0,0.0,H,0.0,0.0,D,G Irvine,19.0,4.0,7.0,1.0,6.0,7.0,9.0,1.0,0.0,0.0,0.0,0.0,1.11,9.0,21.0,1.13,9.0,17.5,23/24
2023-09-16,15:00,Hearts,Aberdeen,2.0,0.0,H,1.0,0.0,H,K Clancy,12.0,11.0,4.0,5.0,11.0,12.0,9.0,3.0,4.0,2.0,0.0,0.0,2.1,3.5,3.4,2.1,3.5,3.2,23/24
2023-09-16,15:00,Kilmarnock,Hibernian,2.0,2.0,D,0.0,1.0,A,D Dickinson,16.0,11.0,5.0,4.0,16.0,8.0,4.0,4.0,5.0,4.0,0.0,0.0,2.55,3.3,2.75,2.45,3.3,2.7,23/24
2023-09-16,15:00,Motherwell,St Mirren,0.0,1.0,A,0.0,0.0,D,M MacDermid,20.0,9.0,7.0,3.0,6.0,18.0,8.0,3.0,0.0,5.0,0.0,0.0,2.25,3.25,3.3,2.25,3.2,3.1,23/24
2023-09-16,15:00,Ross County,Livingston,1.0,1.0,D,0.0,0.0,D,E Anderson,16.0,5.0,5.0,2.0,14.0,13.0,6.0,2.0,0.0,3.0,0.0,0.0,2.38,3.2,3.1,2.37,3.4,2.8,23/24
2023-09-23,12:30,Livingston,Celtic,0.0,3.0,A,0.0,1.0,A,J Beaton,15.0,14.0,4.0,7.0,17.0,6.0,2.0,4.0,5.0,2.0,0.0,1.0,9.5,6.5,1.25,10.0,5.75,1.27,23/24
2023-09-23,15:00,Dundee,Kilmarnock,2.0,2.0,D,1.0,1.0,D,D Munro,10.0,23.0,3.0,3.0,8.0,12.0,4.0,7.0,1.0,3.0,1.0,0.0,2.55,3.3,2.8,2.45,3.25,2.75,23/24
2023-09-23,15:00,Hibernian,St Johnstone,2.0,0.0,H,1.0,0.0,H,K Clancy,17.0,12.0,8.0,1.0,9.0,10.0,4.0,4.0,1.0,3.0,0.0,0.0,1.6,4.0,5.75,1.6,3.9,5.25,23/24
2023-09-23,15:00,St Mirren,Hearts,1.0,0.0,H,1.0,0.0,H,N Walsh,13.0,11.0,5.0,3.0,13.0,12.0,4.0,8.0,2.0,1.0,0.0,0.0,2.7,3.3,2.7,2.6,3.2,2.65,23/24
2023-09-24,15:00,Aberdeen,Ross County,4.0,0.0,H,2.0,0.0,H,D Robertson,13.0,11.0,6.0,2.0,9.0,10.0,5.0,5.0,0.0,4.0,0.0,0.0,1.95,3.5,4.0,1.95,3.5,3.7,23/24
2023-09-24,15:00,Rangers,Motherwell,1.0,0.0,H,1.0,0.0,H,A Muir,17.0,9.0,7.0,4.0,14.0,15.0,2.0,2.0,2.0,2.0,0.0,0.0,1.25,6.0,12.0,1.24,6.25,11.0,23/24
